Year,Country,Count_per_lakh
2005,Bahamas,158
2006,Bahamas,172
2007,Bahamas,212
2008,Bahamas,197
2009,Bahamas,904
2010,Bahamas,930
2011,Bahamas,963
2012,Bahamas,930
2014,Bahamas,1538
2015,Bahamas,1350
2016,Bahamas,2282
2017,Bahamas,2156
2018,Bahamas,1630
2019,Bahamas,2073
2020,Bahamas,1383
2021,Bahamas,1024
2003,Belgium,686
2004,Belgium,658
2005,Belgium,736
2006,Belgium,770
2007,Belgium,799
2008,Belgium,811
2009,Belgium,821
2010,Belgium,855
2011,Belgium,862
2012,Belgium,795
2013,Belgium,766
2014,Belgium,1062
2015,Belgium,979
2016,Belgium,985
2017,Belgium,991
2018,Belgium,944
2019,Belgium,960
2020,Belgium,870
2021,Belgium,908
2004,Colombia,94
2005,Colombia,91
2006,Colombia,135
2007,Colombia,136
2008,Colombia,107
2009,Colombia,149
2010,Colombia,142
2011,Colombia,164
2012,Colombia,217
2013,Colombia,1231
2014,Colombia,1227
2015,Colombia,1300
2016,Colombia,1394
2017,Colombia,1367
2018,Colombia,1403
2019,Colombia,622
2020,Colombia,950
2021,Colombia,467
2003,France,289
2004,France,294
2005,France,305
2006,France,328
2007,France,345
2008,France,363
2009,France,411
2010,France,427
2011,France,427
2012,France,429
2013,France,434
2014,France,447
2015,France,490
2016,France,994
2017,France,1656
2018,France,1854
2019,France,2019
2020,France,2020
2021,France,985
2005,Grenada,1876
2006,Grenada,1823
2007,Grenada,1338
2008,Grenada,1320
2009,Grenada,1218
2010,Grenada,1128
2011,Grenada,1217
2012,Grenada,1331
2013,Grenada,1350
2014,Grenada,710
2015,Grenada,693
2016,Grenada,746
2017,Grenada,640
2018,Grenada,1160
2019,Grenada,1043
2020,Grenada,2095
2021,Grenada,2191
2005,"New Zealand",325
2006,"New Zealand",347
2007,"New Zealand",375
2008,"New Zealand",379
2009,"New Zealand",377
2010,"New Zealand",357
2011,"New Zealand",359
2012,"New Zealand",342
2013,"New Zealand",321
2014,"New Zealand",459
2015,"New Zealand",2535
2016,"New Zealand",2700
2017,"New Zealand",2672
2018,"New Zealand",2655
2019,"New Zealand",996
2020,"New Zealand",1134
2021,"New Zealand",1220
2004,"Saint Vincent and the Grenadines",1591
2005,"Saint Vincent and the Grenadines",1299
2006,"Saint Vincent and the Grenadines",1130
2007,"Saint Vincent and the Grenadines",1151
2008,"Saint Vincent and the Grenadines",1123
2009,"Saint Vincent and the Grenadines",1349
2010,"Saint Vincent and the Grenadines",1380
2011,"Saint Vincent and the Grenadines",1624
2012,"Saint Vincent and the Grenadines",1214
2013,"Saint Vincent and the Grenadines",213
2016,"Saint Vincent and the Grenadines",1015
2017,"Saint Vincent and the Grenadines",892
2018,"Saint Vincent and the Grenadines",1047
2019,"Saint Vincent and the Grenadines",1102
2020,"Saint Vincent and the Grenadines",877
2003,Sweden,865
2004,Sweden,886
2005,Sweden,969
2006,Sweden,1020
2007,Sweden,1082
2008,Sweden,1128
2009,Sweden,1159
2010,Sweden,356
2011,Sweden,365
2012,Sweden,346
2013,Sweden,611
2014,Sweden,1477
2015,Sweden,1370
2016,Sweden,1481
2017,Sweden,1489
2018,Sweden,1481
2019,Sweden,1517
2020,Sweden,1604
2021,Sweden,1140
2003,"United Kingdom (England and Wales)",985
2004,"United Kingdom (England and Wales)",1085
2005,"United Kingdom (England and Wales)",1131
2006,"United Kingdom (England and Wales)",1047
2007,"United Kingdom (England and Wales)",932
2008,"United Kingdom (England and Wales)",867
2009,"United Kingdom (England and Wales)",833
2010,"United Kingdom (England and Wales)",813
2011,"United Kingdom (England and Wales)",750
2012,"United Kingdom (England and Wales)",703
2013,"United Kingdom (England and Wales)",749
2014,"United Kingdom (England and Wales)",904
2015,"United Kingdom (England and Wales)",1067
2016,"United Kingdom (England and Wales)",1165
2017,"United Kingdom (England and Wales)",1325
2018,"United Kingdom (England and Wales)",1407
2003,"United Kingdom (Scotland)",1246
2004,"United Kingdom (Scotland)",1752
2005,"United Kingdom (Scotland)",1692
2006,"United Kingdom (Scotland)",1806
2007,"United Kingdom (Scotland)",1688
2008,"United Kingdom (Scotland)",1680
2009,"United Kingdom (Scotland)",254
2010,"United Kingdom (Scotland)",305
2011,"United Kingdom (Scotland)",298
2012,"United Kingdom (Scotland)",291
2013,"United Kingdom (Scotland)",364
2014,"United Kingdom (Scotland)",379
2015,"United Kingdom (Scotland)",419
2016,"United Kingdom (Scotland)",448
2017,"United Kingdom (Scotland)",505
2018,"United Kingdom (Scotland)",571
2019,"United Kingdom (Scotland)",553
2020,"United Kingdom (Scotland)",532
2021,"United Kingdom (Scotland)",605
