Country,Total_Count_per_lakh
Egypt,0
"Holy See",0
Yemen,3
Sudan,6
Guinea,7
Turkmenistan,14
Haiti,14
Nepal,17
Bangladesh,18
"Sao Tome and Principe",22
Timor-Leste,37
Senegal,43
Uzbekistan,45
Mozambique,46
Benin,56
Nigeria,65
Qatar,87
"United Republic of Tanzania",95
"Côte d’Ivoire",108
Madagascar,110
Azerbaijan,115
Philippines,126
Malaysia,134
Burundi,139
"Syrian Arab Republic",142
"Venezuela (Bolivarian Republic of)",143
"Saudi Arabia",152
Indonesia,153
Rwanda,177
Myanmar,182
Ukraine,188
"United Arab Emirates",197
Armenia,200
Georgia,204
"North Macedonia",246
Oman,248
Kyrgyzstan,258
Pakistan,258
Kazakhstan,284
India,352
Kuwait,371
Albania,388
Belarus,412
Cameroon,422
"Bosnia and Herzegovina",504
Cyprus,514
Tajikistan,546
Thailand,560
Guinea-Bissau,561
"Brunei Darussalam",577
Montenegro,602
Japan,624
"Republic of Moldova",627
Jordan,637
"Iraq (Central Iraq)",660
Mauritius,664
"Sierra Leone",665
"State of Palestine",739
Lithuania,745
"Russian Federation",759
Serbia,774
Ghana,809
Singapore,821
Greece,831
Kenya,901
Estonia,907
Bhutan,924
Honduras,939
Romania,979
Bulgaria,1035
Uruguay,1094
"Puerto Rico",1154
Croatia,1248
Poland,1428
Nicaragua,1475
"Solomon Islands",1489
Uganda,1504
Malta,1520
Lebanon,1614
Lesotho,1616
"Dominican Republic",1642
Latvia,1682
"Kosovo under UNSCR 1244",1690
Algeria,1741
Paraguay,1743
"China, Hong Kong Special Administrative Region",1880
"Antigua and Barbuda",1934
"Trinidad and Tobago",1981
Slovakia,1991
Namibia,2028
"South Africa",2031
"Sri Lanka",2120
Bahrain,2187
Hungary,2369
Switzerland,2552
Peru,2578
Maldives,2881
"China, Macao Special Administrative Region",2904
Ecuador,2909
Morocco,3024
Türkiye,3035
Jamaica,3062
Dominica,3102
Slovenia,3125
Mongolia,3134
Belize,3141
Monaco,3143
Spain,3242
Suriname,3325
Portugal,3369
Austria,3454
Eswatini,3537
"Bolivia (Plurinational State of)",3623
Andorra,3791
Italy,3795
Guatemala,3818
Botswana,3894
Chile,3935
Mexico,3940
Zimbabwe,3965
"El Salvador",4189
Iceland,4230
Denmark,4378
Czechia,4390
Panama,4616
"Saint Lucia",4640
Liechtenstein,4771
Argentina,4958
Brazil,5208
"Republic of Korea",5272
Netherlands,5331
Ireland,5584
"United States of America",5623
Australia,5848
Norway,5898
Luxembourg,6350
"Costa Rica",6676
Guyana,6885
"Cabo Verde",7033
"Saint Kitts and Nevis",7608
Bermuda,7629
Finland,8013
Israel,8850
"United Kingdom (Northern Ireland)",9102
Canada,10580
Barbados,10699
Germany,11161
Colombia,11196
France,14517
"United Kingdom (Scotland)",15388
"United Kingdom (England and Wales)",15763
Belgium,16258
"Saint Vincent and the Grenadines",17007
"New Zealand",17553
Bahamas,17902
Sweden,20346
Grenada,21879
